   Current data set:
   NAME =	NES_240528_BBI_CheckPurProd	EXPNO =	6	PROCNO = 1
   DU   =	C:/Users/elsabbagh-n/Documents/DataSet

   Number   Integrated Region     Integral
     1      6.421      6.370         0.79203
     2      5.337      5.276         0.92555
     3      5.179      5.099         0.94678
     4      2.502      2.444         2.09092
     5      2.409      2.356         2.08245
     6      2.122      2.057         2.13797
     7      2.020      1.953         2.19347
     8      1.784      1.714         1.22935
     9      1.698      1.681         2.91452
    10      1.673      1.623         1.46380
    11      1.616      1.596         2.65785
    12      1.407      1.371         3.00302
